Nombre de Programa;Nomenclaruta Programa;Linea de Negocio;Modalidad;Facultad;Nomenclatura Facultad;Código Banner;Lista Pardot;Periodo;Código Carrera;Nombre de Programa2;Link del Programa;PP1;PP1d;PP2;PP2d;PP3;PP3d;PP4;PP4d;Columna3
Administración de Empresas Vespertino;ADMEN;Pregrado;Pregrado Vespertino;Facultad de Ciencias Económicas y Administrativas;FACEA;UDLA2P237-202610-237;UDLA_PD_FACEA_ADMEN_LTD_GENERAL;202610;Administración-N;Administración de Empresas Vespertino;https://www.udla.edu.ec/estudios/pregrado/administracion-de-empresas/?modalidad=nocturno;FB_LP_ADMEN_VISITAS180D;Visitas a la landing ADMEN;FB_LP_ADMEN_SINREGISTRO180D;Visitas a la landing sin registro ADMEN;FB_LP_ADMEN_REGISTROS180D;Visitas a la landing registro ADMEN;FB_LP_ADMEN_FORM90D;Registro Form ADMEN;
Comunicación Vespertino;COMUN;Pregrado;Pregrado Vespertino;Facultad de Comunicación y Artes Visuales NODO;NODO;UDLA2P577-202610-577;UDLA_PD_NODO_COMUN_LTD_GENERAL;202610;Comunicación-N;Comunicación Vespertino;https://www.udla.edu.ec/estudios/pregrado/comunicacion/?modalidad=nocturno;FB_LP_COMUN_VISITAS180D;Visitas a la landing COMUN;FB_LP_COMUN_SINREGISTRO180D;Visitas a la landing sin registro COMUN;FB_LP_COMUN_REGISTROS180D;Visitas a la landing registro COMUN;FB_LP_COMUN_FORM90D;Registro Form COMUN;
Derecho Vespertino;DEREC;Pregrado;Pregrado Vespertino;Facultad de Derecho;FDEREC;UDLA2P567-202610-567;UDLA_PD_FDERECH_DEREC_LTD_GENERAL;202610;Derecho-N;Derecho Vespertino;https://www.udla.edu.ec/estudios/pregrado/derecho/?modalidad=nocturno;FB_LP_DEREC_VISITAS180D;Visitas a la landing DEREC;FB_LP_DEREC_SINREGISTRO180D;Visitas a la landing sin registro DEREC;FB_LP_DEREC_REGISTROS180D;Visitas a la landing registro DEREC;FB_LP_DEREC_FORM90D;Registro Form DEREC;
Marketing Vespertino;MARKT;Pregrado;Pregrado Vespertino;Facultad de Ciencias Económicas y Administrativas;FACEA;UDLA1H264-202610-264S;UDLA_PD_FACEA_MARKT_LTD_GENERAL;202610;Marketing-N;Marketing Vespertino;https://www.udla.edu.ec/estudios/pregrado/marketing/?modalidad=nocturno;FB_LP_MARKT_VISITAS180D;Visitas a la landing MARKT;FB_LP_MARKT_SINREGISTRO180D;Visitas a la landing sin registro MARKT;FB_LP_MARKT_REGISTROS180D;Visitas a la landing registro MARKT;FB_LP_MARKT_FORM90D;Registro Form MARKT;
Negocios Internacionales Vespertino;NEGIN;Pregrado;Pregrado Vespertino;Facultad de Ciencias Económicas y Administrativas;FACEA;UDLA1H254-202610-254;UDLA_PD_FACEA_NEGIN_LTD_GENERAL;202610;Negocios Internacionales-N;Negocios Internacionales Vespertino;https://www.udla.edu.ec/estudios/pregrado/negocios-internacionales/?modalidad=nocturno;FB_LP_NEGIN_VISITAS180D;Visitas a la landing NEGIN;FB_LP_NEGIN_SINREGISTRO180D;Visitas a la landing sin registro NEGIN;FB_LP_NEGIN_REGISTROS180D;Visitas a la landing registro NEGIN;FB_LP_NEGIN_FORM90D;Registro Form NEGIN;
Psicología Vespertino;PSICO;Pregrado;Pregrado Vespertino;Escuela de Psicología y Educación;EPSIC;UDLA1H594-202610-594S;UDLA_PD_EPSIC_PSICO_LTD_GENERAL;202610;Psicología-N;Psicología Vespertino;https://www.udla.edu.ec/estudios/pregrado/psicologia/?modalidad=nocturno;FB_LP_PSICO_VISITAS180D;Visitas a la landing PSICO;FB_LP_PSICO_SINREGISTRO180D;Visitas a la landing sin registro PSICO;FB_LP_PSICO_REGISTROS180D;Visitas a la landing registro PSICO;FB_LP_PSICO_FORM90D;Registro Form PSICO;
Administración de Empresas Híbrido;ADMEN;Pregrado;Pregrado Híbrido;Facultad de Ciencias Económicas y Administrativas;FACEA;UDLA1H234-202610-234;UDLA_PD_FACEA_ADMEN_LTDD_GENERAL;202610;Administración-H;Administración de Empresas Híbrido;https://www.udla.edu.ec/estudios/pregrado/administracion-de-empresas/?modalidad=hibrida;FB_LP_ADMEN_VISITAS180D;Visitas a la landing ADMEN;FB_LP_ADMEN_SINREGISTRO180D;Visitas a la landing sin registro ADMEN;FB_LP_ADMEN_REGISTROS180D;Visitas a la landing registro ADMEN;FB_LP_ADMEN_FORM90D;Registro Form ADMEN;
Ingeniería en Ciberseguridad Híbrido;CIBER;Pregrado;Pregrado Híbrido;Facultad de Ingeniería y Ciencias Aplicadas;FICA;UDLA1H070-202610-070;UDLA_PD_FICA_CIBER_LTD_GENERAL;202610;Ciberseguridad-H;Ingeniería en Ciberseguridad Híbrido;https://www.udla.edu.ec/estudios/pregrado/ciberseguridad/?modalidad=hibrida;FB_LP_CIBER_VISITAS180D;Visitas a la landing CIBER;FB_LP_CIBER_SINREGISTRO180D;Visitas a la landing sin registro CIBER;FB_LP_CIBER_REGISTROS180D;Visitas a la landing registro CIBER;FB_LP_CIBER_FORM90D;Registro Form CIBER;
Comunicación Híbrido;COMUN;Pregrado;Pregrado Híbrido;Facultad de Comunicación y Artes Visuales NODO;NODO;UDLA1H574-202610-574;UDLA_PD_NODO_COMUN_LTD_GENERAL;202610;Comunicación-H;Comunicación Híbrido;https://www.udla.edu.ec/estudios/pregrado/comunicacion/?modalidad=hibrida;FB_LP_COMUN_VISITAS180D;Visitas a la landing COMUN;FB_LP_COMUN_SINREGISTRO180D;Visitas a la landing sin registro COMUN;FB_LP_COMUN_REGISTROS180D;Visitas a la landing registro COMUN;FB_LP_COMUN_FORM90D;Registro Form COMUN;
Derecho Híbrido;DEREC;Pregrado;Pregrado Híbrido;Facultad de Derecho;FDEREC;UDLA1H564-202610-564;UDLA_PD_FDERECH_DEREC_LTD_GENERAL;202610;Derecho-H;Derecho Híbrido;https://www.udla.edu.ec/estudios/pregrado/derecho/?modalidad=hibrida;FB_LP_DEREC_VISITAS180D;Visitas a la landing DEREC;FB_LP_DEREC_SINREGISTRO180D;Visitas a la landing sin registro DEREC;FB_LP_DEREC_REGISTROS180D;Visitas a la landing registro DEREC;FB_LP_DEREC_FORM90D;Registro Form DEREC;
